make,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
AUDI,MID-SIZE,3.0,6,AS8,Z,11.2,258
AUDI,MID-SIZE,4.0,8,AS8,Z,11.3,265
AUDI,MID-SIZE,3.0,6,AS8,D,8.4,224
AUDI,FULL-SIZE,3.0,6,AS8,Z,11.2,258
AUDI,FULL-SIZE,4.0,8,AS8,Z,12.5,288
AUDI,FULL-SIZE,6.3,12,AS8,Z,15.5,363
AUDI,FULL-SIZE,3.0,6,AS8,D,8.4,224
AUDI,STATION WAGON - SMALL,2.0,4,AS8,Z,10.5,242
AUDI,SUV - SMALL,2.0,4,AS8,Z,10.4,239
AUDI,SUV - SMALL,3.0,6,AS8,Z,11.2,258
AUDI,SUV - SMALL,3.0,6,AS8,D,9.0,244
AUDI,SUV - SMALL,2.0,4,AS8,Z,9.2,212
AUDI,SUV - STANDARD,3.0,6,AS8,Z,13.2,304
AUDI,SUV - STANDARD,3.0,6,AS8,D,10.7,290
AUDI,TWO-SEATER,4.2,8,A7,Z,14.6,336
AUDI,TWO-SEATER,4.2,8,M6,Z,17.7,407
AUDI,TWO-SEATER,5.2,10,A7,Z,14.8,347
AUDI,TWO-SEATER,5.2,10,M6,Z,17.8,409
AUDI,TWO-SEATER,4.2,8,A7,Z,14.6,336
AUDI,TWO-SEATER,4.2,8,M6,Z,17.7,407
AUDI,TWO-SEATER,5.2,10,A7,Z,14.8,347
AUDI,TWO-SEATER,5.2,10,M6,Z,17.8,409
AUDI,SUBCOMPACT,4.2,8,A7,Z,13.3,306
AUDI,SUBCOMPACT,4.2,8,A7,Z,13.4,308
AUDI,MID-SIZE,4.0,8,AS8,Z,12.5,293
AUDI,COMPACT,3.0,6,A7,Z,11.4,262
AUDI,COMPACT,3.0,6,M6,Z,12.4,285
AUDI,SUBCOMPACT,3.0,6,A7,Z,11.4,262
AUDI,SUBCOMPACT,3.0,6,M6,Z,12.4,285
AUDI,SUBCOMPACT,3.0,6,A7,Z,11.6,267
AUDI,MID-SIZE,4.0,8,A7,Z,12.2,281
AUDI,MID-SIZE,4.0,8,A7,Z,12.2,281
AUDI,MID-SIZE,4.0,8,AS8,Z,12.8,300
AUDI,SUV - SMALL,3.0,6,AS8,Z,12.7,292
AUDI,SUBCOMPACT,2.0,4,A6,Z,9.1,209
AUDI,TWO-SEATER,2.0,4,A6,Z,9.1,209
AUDI,SUBCOMPACT,2.0,4,A6,Z,10.3,237
AUDI,TWO-SEATER,2.0,4,A6,Z,10.3,237
BENTLEY,SUBCOMPACT,4.0,8,AS8,Z,13.4,314
BENTLEY,SUBCOMPACT,6.0,12,AS8,Z,15.5,356
BENTLEY,SUBCOMPACT,4.0,8,AS8,Z,14.2,332
BENTLEY,SUBCOMPACT,6.0,12,AS8,Z,16.5,380
BENTLEY,SUBCOMPACT,6.0,12,AS8,Z,16.5,380
BENTLEY,MID-SIZE,6.0,12,AS8,Z,16.5,388
BENTLEY,MID-SIZE,6.8,8,AS8,Z,19.0,437
BMW,COMPACT,2.0,4,A8,Z,8.4,193
BMW,COMPACT,2.0,4,M6,Z,8.7,200
BMW,COMPACT,2.0,4,A8,Z,8.8,202
BMW,COMPACT,2.0,4,A8,D,6.7,181
BMW,STATION WAGON - SMALL,2.0,4,A8,D,6.7,181
BMW,COMPACT,2.0,4,A8,Z,8.4,193
BMW,COMPACT,2.0,4,M6,Z,8.7,200
BMW,COMPACT,2.0,4,A8,Z,9.1,209
BMW,FULL-SIZE,2.0,4,A8,Z,9.1,209
BMW,STATION WAGON - SMALL,2.0,4,A8,Z,9.1,209
BMW,COMPACT,3.0,6,A8,Z,9.6,221
BMW,COMPACT,3.0,6,M6,Z,10.0,230
BMW,COMPACT,3.0,6,A8,Z,9.9,228
BMW,COMPACT,3.0,6,M6,Z,10.3,237
BMW,FULL-SIZE,3.0,6,A8,Z,10.1,232
BMW,COMPACT,2.0,4,A8,Z,8.4,193
BMW,COMPACT,2.0,4,M6,Z,8.7,200
BMW,COMPACT,2.0,4,A8,Z,9.1,209
BMW,COMPACT,3.0,6,A8,Z,9.6,221
BMW,COMPACT,3.0,6,M6,Z,10.0,230
BMW,COMPACT,3.0,6,A8,Z,9.9,228
BMW,COMPACT,3.0,6,M6,Z,10.3,237
BMW,MID-SIZE,2.0,4,A8,Z,8.8,202
BMW,MID-SIZE,2.0,4,A8,Z,9.1,209
BMW,MID-SIZE,3.0,6,A8,D,7.9,213
BMW,MID-SIZE,3.0,6,A8,Z,10.1,232
BMW,FULL-SIZE,3.0,6,A8,Z,10.7,246
BMW,MID-SIZE,4.4,8,A8,Z,12.2,281
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,292
BMW,COMPACT,3.0,6,A8,Z,10.1,232
BMW,SUBCOMPACT,4.4,8,A8,Z,12.7,292
BMW,COMPACT,4.4,8,A8,Z,12.2,281
BMW,COMPACT,4.4,8,A8,Z,12.7,292
BMW,FULL-SIZE,3.0,6,A8,Z,10.7,246
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,292
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,292
BMW,FULL-SIZE,6.0,12,A8,Z,15.5,356
BMW,COMPACT,3.0,6,A8,Z,8.3,191
BMW,MID-SIZE,3.0,6,A8,Z,9.3,214
BMW,FULL-SIZE,3.0,6,A8,Z,9.2,212
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,292
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,292
BMW,MID-SIZE,4.4,8,AM7,Z,14.7,338
BMW,MID-SIZE,4.4,8,M6,Z,13.8,317
BMW,COMPACT,4.4,8,AM7,Z,14.7,338
BMW,COMPACT,4.4,8,M6,Z,13.8,317
BMW,SUBCOMPACT,4.4,8,AM7,Z,14.7,338
BMW,SUBCOMPACT,4.4,8,M6,Z,13.8,317
BMW,COMPACT,4.4,8,AM7,Z,14.7,338
BMW,COMPACT,4.4,8,M6,Z,13.8,317
BMW,SUV - SMALL,2.0,4,A8,Z,9.1,209
BMW,SUV - SMALL,3.0,6,A6,Z,11.3,260
BMW,SUV - SMALL,2.0,4,A8,Z,10.0,230
BMW,SUV - SMALL,3.0,6,A8,Z,11.0,253
BMW,SUV - STANDARD,3.0,6,A8,Z,11.1,255
BMW,SUV - STANDARD,4.4,8,A8,Z,13.9,320
BMW,SUV - STANDARD,4.4,8,A6,Z,16.1,370
BMW,SUV - STANDARD,3.0,6,A8,Z,11.9,274
BMW,SUV - STANDARD,4.4,8,A8,Z,14.1,324
BMW,TWO-SEATER,2.0,4,A8,Z,9.1,209
BMW,TWO-SEATER,2.0,4,M6,Z,8.7,200
BMW,TWO-SEATER,3.0,6,AM7,Z,12.1,278
BMW,TWO-SEATER,3.0,6,M6,Z,11.0,253
BMW,TWO-SEATER,3.0,6,AM7,Z,12.1,278
BUICK,SUV - STANDARD,3.6,6,A6,X,12.3,283
BUICK,SUV - STANDARD,3.6,6,A6,X,12.6,290
BUICK,SUV - SMALL,1.4,4,AS6,X,8.5,196
BUICK,SUV - SMALL,1.4,4,AS6,X,9.2,212
BUICK,MID-SIZE,3.6,6,AS6,X,11.5,264
BUICK,MID-SIZE,3.6,6,AS6,E,15.6,250
BUICK,MID-SIZE,3.6,6,AS6,X,11.5,264
BUICK,MID-SIZE,3.6,6,AS6,E,16.5,264
BUICK,MID-SIZE,2.4,4,AS6,X,8.2,189
BUICK,MID-SIZE,2.0,4,AS6,Z,9.9,228
BUICK,MID-SIZE,2.0,4,M6,Z,9.8,225
BUICK,MID-SIZE,2.0,4,AS6,Z,10.7,246
BUICK,MID-SIZE,2.4,4,AS6,X,8.2,189
BUICK,COMPACT,2.0,4,AS6,Z,9.9,228
BUICK,COMPACT,2.0,4,M6,Z,9.8,225
BUICK,COMPACT,2.4,4,AS6,X,9.5,218
CADILLAC,COMPACT,2.0,4,AS6,Z,9.6,221
CADILLAC,COMPACT,2.0,4,M6,Z,10.2,235
CADILLAC,COMPACT,2.5,4,AS6,X,9.0,207
CADILLAC,COMPACT,3.6,6,AS6,X,10.9,251
CADILLAC,COMPACT,2.0,4,AS6,Z,10.1,232
CADILLAC,COMPACT,3.6,6,AS6,X,11.3,260
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.2,258
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.4,262
CADILLAC,MID-SIZE,2.0,4,AS6,Z,10.1,232
CADILLAC,MID-SIZE,3.6,6,AS8,X,10.8,248
CADILLAC,MID-SIZE,2.0,4,AS6,Z,10.8,248
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.3,260
CADILLAC,MID-SIZE,3.6,6,AS8,Z,12.8,294
CADILLAC,STATION WAGON - SMALL,3.0,6,AS6,X,11.0,253
CADILLAC,STATION WAGON - SMALL,3.6,6,AS6,X,11.3,260
CADILLAC,STATION WAGON - SMALL,3.0,6,AS6,X,11.1,255
CADILLAC,STATION WAGON - SMALL,3.6,6,AS6,X,11.4,262
CADILLAC,MID-SIZE,6.2,8,AS6,Z,16.6,382
CADILLAC,MID-SIZE,6.2,8,M6,Z,14.8,340
CADILLAC,MID-SIZE,6.2,8,AS6,Z,16.6,382
CADILLAC,MID-SIZE,6.2,8,M6,Z,14.8,340
CADILLAC,STATION WAGON - SMALL,6.2,8,AS6,Z,16.6,382
CADILLAC,STATION WAGON - SMALL,6.2,8,M6,Z,14.8,340
CADILLAC,SUV - STANDARD,6.2,8,A6,Z,14.7,338
CADILLAC,SUV - STANDARD,6.2,8,A6,E,20.1,322
CADILLAC,SUV - STANDARD,6.2,8,A6,Z,16.4,377
CADILLAC,SUV - STANDARD,6.2,8,A6,E,22.1,354
CADILLAC,SUV - STANDARD,3.6,6,AS6,X,12.3,283
CADILLAC,SUV - STANDARD,3.6,6,AS6,X,12.8,294
CADILLAC,FULL-SIZE,3.6,6,AS6,X,11.4,262
CADILLAC,FULL-SIZE,3.6,6,AS6,X,11.8,271
CADILLAC,FULL-SIZE,3.6,6,AS6,Z,12.6,290
CHEVROLET,COMPACT,3.6,6,AS6,X,11.2,258
CHEVROLET,COMPACT,3.6,6,M6,X,11.7,269
CHEVROLET,COMPACT,3.6,6,AS6,X,10.5,242
CHEVROLET,COMPACT,6.2,8,AS6,Z,12.8,294
CHEVROLET,COMPACT,6.2,8,M6,Z,12.7,292
CHEVROLET,COMPACT,6.2,8,AS6,Z,16.6,382
CHEVROLET,COMPACT,6.2,8,M6,Z,14.8,340
CHEVROLET,TWO-SEATER,6.2,8,AS6,Z,12.0,276
CHEVROLET,TWO-SEATER,6.2,8,M7,Z,11.2,258
CHEVROLET,MID-SIZE,1.4,4,AS6,X,7.8,179
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.8,179
CHEVROLET,MID-SIZE,1.8,4,AS6,X,8.8,202
CHEVROLET,MID-SIZE,1.8,4,M6,X,8.2,189
CHEVROLET,MID-SIZE,2.0,4,AS6,D,7.1,192
CHEVROLET,MID-SIZE,1.4,4,A6,X,7.7,177
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.1,163
CHEVROLET,SUV - SMALL,2.4,4,A6,X,9.1,209
CHEVROLET,SUV - SMALL,3.6,6,A6,X,12.0,276
CHEVROLET,SUV - SMALL,3.6,6,A6,E,16.2,259
CHEVROLET,SUV - SMALL,2.4,4,A6,X,10.0,230
CHEVROLET,SUV - SMALL,3.6,6,A6,X,12.6,290
CHEVROLET,SUV - SMALL,3.6,6,A6,E,17.0,272
CHEVROLET,VAN - CARGO,4.3,6,A4,X,15.1,347
CHEVROLET,VAN - CARGO,5.3,8,A4,X,15.9,366
CHEVROLET,VAN - CARGO,5.3,8,A4,E,20.9,334
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,21.5,344
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,21.5,344
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,22.6,362
CHEVROLET,VAN - PASSENGER,5.3,8,A4,X,16.5,380
CHEVROLET,VAN - PASSENGER,5.3,8,A4,E,21.5,344
CHEVROLET,VAN - PASSENGER,5.3,8,A4,X,16.5,380
CHEVROLET,VAN - PASSENGER,5.3,8,A4,E,22.6,362
CHEVROLET,VAN - PASSENGER,4.8,8,A6,X,18.0,414
CHEVROLET,VAN - PASSENGER,6.0,8,A6,X,18.8,432
CHEVROLET,VAN - PASSENGER,6.0,8,A6,E,25.7,411
CHEVROLET,VAN - PASSENGER,4.8,8,A6,X,18.2,419
CHEVROLET,VAN - PASSENGER,6.0,8,A6,X,18.9,435
CHEVROLET,VAN - PASSENGER,6.0,8,A6,E,25.8,413
CHEVROLET,FULL-SIZE,2.5,4,AS6,X,9.6,221
CHEVROLET,FULL-SIZE,3.6,6,AS6,X,10.6,244
CHEVROLET,FULL-SIZE,3.6,6,AS6,E,14.3,229
CHEVROLET,FULL-SIZE,2.4,4,AS6,X,8.7,200
CHEVROLET,MID-SIZE,2.0,4,AS6,Z,9.9,228
CHEVROLET,MID-SIZE,2.5,4,AS6,X,8.0,184
CHEVROLET,SUV - SMALL,2.4,4,AS6,X,10.6,244
CHEVROLET,SUV - SMALL,2.4,4,M6,X,10.2,235
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,X,11.8,271
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,E,16.8,269
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,X,12.7,292
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,E,16.9,270
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,14.1,324
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,X,12.6,290
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,E,17.8,285
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,X,13.0,299
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,E,17.3,277
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,14.3,329
CHEVROLET,COMPACT,1.4,4,AS6,X,8.0,184
CHEVROLET,COMPACT,1.4,4,M6,X,7.5,173
CHEVROLET,COMPACT,1.8,4,AS6,X,8.3,191
CHEVROLET,COMPACT,1.8,4,M5,X,7.9,182
CHEVROLET,COMPACT,1.4,4,AS6,X,8.3,191
CHEVROLET,COMPACT,1.4,4,M6,X,8.0,184
CHEVROLET,MID-SIZE,1.4,4,AS6,X,8.0,184
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.5,172
CHEVROLET,MID-SIZE,1.8,4,AS6,X,8.3,191
CHEVROLET,MID-SIZE,1.8,4,M5,X,7.9,182
CHEVROLET,MID-SIZE,1.4,4,AS6,X,8.3,191
CHEVROLET,MID-SIZE,1.4,4,M6,X,8.0,184
CHEVROLET,SUBCOMPACT,1.2,4,AV,X,6.9,159
CHEVROLET,SUBCOMPACT,1.2,4,M5,X,6.9,159
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,294
CHEVROLET,SUV - STANDARD,3.6,6,A6,X,12.3,283
CHEVROLET,SUV - STANDARD,3.6,6,A6,X,12.6,290
CHEVROLET,SUV - SMALL,1.4,4,AS6,X,8.4,193
CHEVROLET,SUV - SMALL,1.4,4,M6,X,8.1,186
CHEVROLET,SUV - SMALL,1.4,4,AS6,X,9.0,207
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.3,237
CHRYSLER,COMPACT,2.4,4,A4,X,10.1,232
CHRYSLER,COMPACT,2.4,4,A6,X,10.7,246
CHRYSLER,COMPACT,3.6,6,A6,X,10.5,242
CHRYSLER,COMPACT,3.6,6,A6,E,14.4,230
CHRYSLER,MID-SIZE,2.4,4,A4,X,9.8,225
CHRYSLER,MID-SIZE,2.4,4,A6,X,10.0,230
CHRYSLER,MID-SIZE,3.6,6,A6,X,10.5,242
CHRYSLER,MID-SIZE,3.6,6,A6,E,14.4,230
CHRYSLER,FULL-SIZE,5.7,8,A5,X,12.8,294
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.9,251
CHRYSLER,FULL-SIZE,5.7,8,A5,X,13.4,308
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.9,251
CHRYSLER,FULL-SIZE,3.6,6,A8,E,14.8,237
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.3,237
CHRYSLER,FULL-SIZE,3.6,6,A8,E,13.9,222
CHRYSLER,FULL-SIZE,6.4,8,A5,Z,13.8,317
CHRYSLER,MINIVAN,3.6,6,A6,X,12.0,276
CHRYSLER,MINIVAN,3.6,6,A6,E,16.8,269
DODGE,MID-SIZE,2.4,4,A4,X,9.8,225
DODGE,MID-SIZE,2.4,4,A6,X,10.0,230
DODGE,MID-SIZE,3.6,6,A6,X,10.5,242
DODGE,MID-SIZE,3.6,6,A6,E,14.4,230
DODGE,MID-SIZE,3.6,6,A5,X,11.2,258
DODGE,MID-SIZE,5.7,8,M6,X,13.1,301
DODGE,MID-SIZE,5.7,8,A5,X,12.8,294
DODGE,MID-SIZE,6.4,8,M6,Z,13.9,320
DODGE,MID-SIZE,6.4,8,A5,Z,13.8,317
DODGE,FULL-SIZE,3.6,6,A5,X,11.2,258
DODGE,FULL-SIZE,3.6,6,A8,X,10.3,237
DODGE,FULL-SIZE,5.7,8,A5,X,12.8,294
DODGE,FULL-SIZE,3.6,6,A8,X,10.9,251
DODGE,FULL-SIZE,5.7,8,A5,X,13.4,308
DODGE,FULL-SIZE,3.6,6,A8,X,10.9,251
DODGE,FULL-SIZE,3.6,6,A8,E,14.8,237
DODGE,FULL-SIZE,3.6,6,A5,X,11.2,258
DODGE,FULL-SIZE,3.6,6,A5,E,15.7,251
DODGE,FULL-SIZE,3.6,6,A8,X,10.2,235
DODGE,FULL-SIZE,3.6,6,A8,E,13.9,222
DODGE,FULL-SIZE,6.4,8,A5,Z,13.8,317
DODGE,MID-SIZE,2.0,4,M6,X,8.1,186
DODGE,MID-SIZE,2.4,4,A6,X,8.6,198
DODGE,MID-SIZE,2.4,4,M6,X,8.8,202
DODGE,MID-SIZE,2.0,4,A6,X,8.6,198
DODGE,MID-SIZE,2.0,4,A6,E,12.2,195
DODGE,MID-SIZE,2.4,4,A6,X,9.2,212
DODGE,MID-SIZE,2.4,4,M6,X,8.8,202
DODGE,MID-SIZE,1.4,4,AM6,X,7.3,168
DODGE,MID-SIZE,1.4,4,M6,X,7.3,168
DODGE,SUV - STANDARD,5.7,8,A8,X,14.4,331
DODGE,SUV - STANDARD,3.6,6,A8,X,12.1,278
DODGE,SUV - STANDARD,3.6,6,A8,E,15.6,250
DODGE,MINIVAN,3.6,6,A6,X,11.8,271
DODGE,MINIVAN,3.6,6,A6,E,16.5,264
DODGE,SUV - SMALL,2.4,4,A4,X,11.1,255
DODGE,SUV - SMALL,3.6,6,A6,X,12.4,285
DODGE,SUV - SMALL,3.6,6,A6,X,12.0,276
DODGE,SUV - SMALL,3.6,6,A6,E,16.2,259
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,179
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,179
FIAT,MINICOMPACT,1.4,4,A6,X,7.9,182
FIAT,MINICOMPACT,1.4,4,M5,X,7.2,166
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,179
FIAT,MINICOMPACT,1.4,4,A6,X,7.9,182
FIAT,MINICOMPACT,1.4,4,M5,X,6.8,156
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,179
FIAT,STATION WAGON - SMALL,1.4,4,AM6,X,8.7,200
FIAT,STATION WAGON - SMALL,1.4,4,M6,X,8.4,193
FORD,FULL-SIZE,2.0,4,AV,X,6.0,138
FORD,VAN - CARGO,4.6,8,A4,X,16.2,373
FORD,VAN - CARGO,4.6,8,A4,E,21.9,350
FORD,VAN - CARGO,5.4,8,A4,X,17.2,396
FORD,VAN - CARGO,5.4,8,A4,E,22.5,360
FORD,VAN - PASSENGER,4.6,8,A4,X,16.8,386
FORD,VAN - PASSENGER,4.6,8,A4,E,23.0,368
FORD,VAN - PASSENGER,6.8,10,A5,X,21.2,488
FORD,VAN - PASSENGER,5.4,8,A4,X,18.3,421
FORD,VAN - PASSENGER,5.4,8,A4,E,23.9,382
FORD,SUV - SMALL,2.0,4,A6,X,9.8,225
FORD,SUV - SMALL,3.5,6,AS6,X,10.8,248
FORD,SUV - SMALL,3.5,6,AS6,X,11.5,264
FORD,SUV - SMALL,3.7,6,AS6,X,12.2,281
FORD,SUV - SMALL,1.6,4,AS6,X,9.1,209
FORD,SUV - SMALL,2.0,4,AS6,X,9.6,221
FORD,SUV - SMALL,2.5,4,AS6,X,9.4,216
FORD,SUV - SMALL,1.6,4,AS6,X,9.3,214
FORD,SUV - SMALL,2.0,4,AS6,X,10.0,230
FORD,SUV - STANDARD,5.4,8,A6,X,16.0,368
FORD,SUV - STANDARD,5.4,8,A6,E,21.6,346
FORD,SUV - STANDARD,2.0,4,A6,X,10.2,235
FORD,SUV - STANDARD,3.5,6,AS6,X,13.0,299
FORD,SUV - STANDARD,3.5,6,AS6,X,11.9,274
FORD,SUV - STANDARD,3.5,6,AS6,E,15.9,254
FORD,SUV - STANDARD,3.5,6,AS6,X,12.5,288
FORD,SUV - STANDARD,3.5,6,AS6,E,16.7,267
FORD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.7,292
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,12.8,294
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,15.9,366
FORD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.8,317
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,13.4,308
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,17.5,402
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,X,12.3,283
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,E,16.5,264
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,12.3,283
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,16.5,264
FORD,PICKUP TRUCK - STANDARD,5.0,8,A6,X,14.6,336
FORD,PICKUP TRUCK - STANDARD,5.0,8,A6,E,19.7,315
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,14.6,336
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,19.7,315
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,X,13.4,308
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.0,288
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,13.4,308
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.0,288
FORD,PICKUP TRUCK - STANDARD,5.0,8,A6,X,14.9,343
FORD,PICKUP TRUCK - STANDARD,5.0,8,A6,E,20.0,320
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,14.8,340
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,19.9,318
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.0,414
FORD,SUBCOMPACT,1.6,4,AS6,X,7.6,175
FORD,SUBCOMPACT,1.6,4,M5,X,7.6,175
FORD,SUBCOMPACT,1.0,4,M5,X,6.6,152
FORD,SUBCOMPACT,1.6,4,AS6,X,7.0,161
FORD,COMPACT,1.6,4,M6,X,8.0,184
FORD,SUV - STANDARD,3.5,6,AS6,X,11.5,264
FORD,SUV - STANDARD,3.5,6,AS6,X,12.1,278
FORD,SUV - STANDARD,3.5,6,AS6,X,12.8,294
FORD,COMPACT,2.0,4,M6,X,8.9,205
FORD,COMPACT,2.0,4,A6,X,7.7,177
FORD,COMPACT,2.0,4,A6,E,10.3,165
FORD,COMPACT,2.0,4,AS6,X,7.8,179
FORD,COMPACT,2.0,4,AS6,E,10.3,165
FORD,COMPACT,2.0,4,M5,X,8.0,184
FORD,COMPACT,2.0,4,M5,E,10.6,170
FORD,COMPACT,2.0,4,A6,X,7.2,166
FORD,COMPACT,2.0,4,A6,E,10.1,162
FORD,MID-SIZE,1.5,4,AS6,X,8.5,196
FORD,MID-SIZE,1.6,4,M6,X,8.1,186
FORD,MID-SIZE,2.0,4,AS6,X,9.0,207
FORD,MID-SIZE,2.5,4,AS6,X,8.9,205
FORD,MID-SIZE,1.5,4,AS6,X,8.1,186
FORD,MID-SIZE,2.0,4,AS6,X,9.4,216
FORD,MID-SIZE,2.0,4,AV,X,5.5,126
FORD,SUBCOMPACT,3.7,6,A6,X,10.2,235
FORD,SUBCOMPACT,3.7,6,M6,X,10.6,244
FORD,SUBCOMPACT,5.0,8,A6,X,11.5,264
FORD,SUBCOMPACT,5.0,8,M6,X,12.7,292
FORD,SUBCOMPACT,5.8,8,M6,Z,13.2,304
FORD,SUBCOMPACT,3.7,6,A6,X,10.6,244
FORD,FULL-SIZE,2.0,4,AS6,X,9.1,209
FORD,FULL-SIZE,3.5,6,AS6,X,11.8,271
FORD,FULL-SIZE,3.5,6,AS6,X,10.3,237
FORD,FULL-SIZE,3.5,6,AS6,E,14.3,229
