make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions
AUDI,A4,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
AUDI,A5,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
AUDI,A5,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
AUDI,A5,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
AUDI,A6,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235
AUDI,A6,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251
AUDI,A6,MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
AUDI,A7,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262
AUDI,A7,MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265
AUDI,A8,MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
AUDI,A8,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
AUDI,A8,FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288
AUDI,A8,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363
AUDI,A8,FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
AUDI,ALLROAD,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258
AUDI,Q5,SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
AUDI,RS,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
AUDI,RS,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
AUDI,RS,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292
AUDI,TT,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209
AUDI,TT,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209
AUDI,TTS,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237
AUDI,TTS,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237
BENTLEY,CONTINENTAL,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314
BENTLEY,CONTINENTAL,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356
BENTLEY,CONTINENTAL,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332
BENTLEY,CONTINENTAL,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
BENTLEY,CONTINENTAL,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437
BMW,I series,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
BMW,I series,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
BMW,I series,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202
BMW,D series,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181
BMW,D series,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181
BMW,I series,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
BMW,I series,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
BMW,I series,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,I series,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,I series,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,I series,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
BMW,I series,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
BMW,I series,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
BMW,I series,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
BMW,I series,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
BMW,I series,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
BMW,I series,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
BMW,I series,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,I series,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
BMW,I series,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
BMW,I series,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
BMW,I series,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
BMW,I series,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202
BMW,I series,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,D series,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213
BMW,I series,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
BMW,I series,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
BMW,I series,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
BMW,I series,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,I series,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232
BMW,I series,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,I series,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
BMW,I series,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,I series,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
BMW,I series,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,I series,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,I series,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356
BMW,ACTIVEHYBRID,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191
BMW,ACTIVEHYBRID,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214
BMW,ACTIVEHYBRID,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212
BMW,ALPINA,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,ALPINA,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
BMW,M series,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M series,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317
BMW,M series,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M series,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
BMW,M series,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M series,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
BMW,M series,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M series,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
BMW,X series,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
BMW,X series,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260
BMW,X series,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230
BMW,X series,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253
BMW,X series,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255
BMW,X series,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
BMW,X series,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
BMW,X series,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274
BMW,X series,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
BMW,Z series,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209
BMW,Z series,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200
BMW,Z series,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
BMW,Z series,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253
BMW,Z series,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264
BUICK,LACROSSE,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246
BUICK,REGAL,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260
CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262
CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248
CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
CADILLAC,CTS,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253
CADILLAC,CTS,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
CADILLAC,CTS,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255
CADILLAC,CTS,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262
CADILLAC,CTS,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
CADILLAC,CTS,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
CADILLAC,CTS,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340
CADILLAC,ESCALADE,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338
CADILLAC,ESCALADE,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322
CADILLAC,ESCALADE,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
CADILLAC,ESCALADE,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189
CHEVROLET,CRUZE,MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,40,192
CHEVROLET,CRUZE,MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272
CHEVROLET,EXPRESS,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362
CHEVROLET,EXPRESS,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHEVROLET,EXPRESS,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344
CHEVROLET,EXPRESS,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
CHEVROLET,EXPRESS,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414
CHEVROLET,EXPRESS,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432
CHEVROLET,EXPRESS,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411
CHEVROLET,EXPRESS,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
CHEVROLET,EXPRESS,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435
CHEVROLET,EXPRESS,VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,11,413
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229
CHEVROLET,IMPALA,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,32,200
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8.0,35,184
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22,299
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8.0,35,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.4,7.0,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.8,7.0,8.0,35,184
CHEVROLET,SONIC,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8.0,35,184
CHEVROLET,SONIC,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
CHEVROLET,SONIC,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC,MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC,MID-SIZE,1.4,4,AS6,X,9.4,7.0,8.3,34,191
CHEVROLET,SONIC,MID-SIZE,1.4,4,M6,X,8.8,7.0,8.0,35,184
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.0,6.9,41,159
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6.0,6.9,41,159
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,10.0,7.8,9.0,31,207
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,200,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
CHRYSLER,200,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
CHRYSLER,200,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,200,COMPACT,3.6,6,A6,E,17.0,11.2,14.4,20,230
CHRYSLER,200,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
CHRYSLER,200,MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230
CHRYSLER,200,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,200,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230
CHRYSLER,300,FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300,FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,300,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
