make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
3,1432,6,3.0,6,17,3,13.2,304
3,1433,6,3.0,6,17,0,10.7,290
3,1458,5,4.2,8,4,3,14.6,336
3,1458,5,4.2,8,25,3,17.7,407
3,1458,5,5.2,10,4,3,14.8,347
3,1458,5,5.2,10,25,3,17.8,409
3,1461,5,4.2,8,4,3,14.6,336
3,1461,5,4.2,8,25,3,17.7,407
3,1461,5,5.2,10,4,3,14.8,347
3,1461,5,5.2,10,25,3,17.8,409
3,1518,0,4.2,8,4,3,13.3,306
3,1519,0,4.2,8,4,3,13.4,308
3,1522,0,4.0,8,17,3,12.5,293
3,1580,0,3.0,6,4,3,11.4,262
3,1580,0,3.0,6,25,3,12.4,285
3,1582,0,3.0,6,4,3,11.4,262
3,1582,0,3.0,6,25,3,12.4,285
3,1583,0,3.0,6,4,3,11.6,267
3,1589,0,4.0,8,4,3,12.2,281
3,1606,0,4.0,8,4,3,12.2,281
3,1608,0,4.0,8,17,3,12.8,300
3,1690,3,3.0,6,17,3,12.7,292
3,1804,0,2.0,4,3,3,9.1,209
3,1806,5,2.0,4,3,3,9.1,209
3,1811,0,2.0,4,3,3,10.3,237
3,1813,5,2.0,4,3,3,10.3,237
4,525,0,4.0,8,17,3,13.4,314
4,525,0,6.0,12,17,3,15.5,356
4,529,0,4.0,8,17,3,14.2,332
4,529,0,6.0,12,17,3,16.5,380
4,527,0,6.0,12,17,3,16.5,380
4,904,0,6.0,12,17,3,16.5,388
4,1261,0,6.8,8,17,3,19.0,437
5,54,0,2.0,4,5,3,8.4,193
5,54,0,2.0,4,25,3,8.7,200
5,56,0,2.0,4,5,3,8.8,202
5,58,0,2.0,4,5,0,6.7,181
5,60,3,2.0,4,5,0,6.7,181
5,61,0,2.0,4,5,3,8.4,193
5,61,0,2.0,4,25,3,8.7,200
5,63,0,2.0,4,5,3,9.1,209
5,64,0,2.0,4,5,3,9.1,209
5,66,3,2.0,4,5,3,9.1,209
5,74,0,3.0,6,5,3,9.6,221
5,74,0,3.0,6,25,3,10.0,230
5,76,0,3.0,6,5,3,9.9,228
5,76,0,3.0,6,25,3,10.3,237
5,77,0,3.0,6,5,3,10.1,232
5,87,0,2.0,4,5,3,8.4,193
5,87,0,2.0,4,25,3,8.7,200
5,90,0,2.0,4,5,3,9.1,209
5,100,0,3.0,6,5,3,9.6,221
5,100,0,3.0,6,25,3,10.0,230
5,103,0,3.0,6,5,3,9.9,228
5,103,0,3.0,6,25,3,10.3,237
5,135,0,2.0,4,5,3,8.8,202
5,137,0,2.0,4,5,3,9.1,209
5,142,0,3.0,6,5,0,7.9,213
5,144,0,3.0,6,5,3,10.1,232
5,145,0,3.0,6,5,3,10.7,246
5,150,0,4.4,8,5,3,12.2,281
5,151,0,4.4,8,5,3,12.7,292
5,154,0,3.0,6,5,3,10.1,232
5,158,0,4.4,8,5,3,12.7,292
5,159,0,4.4,8,5,3,12.2,281
5,160,0,4.4,8,5,3,12.7,292
5,163,0,3.0,6,5,3,10.7,246
5,169,0,4.4,8,5,3,12.7,292
5,165,0,4.4,8,5,3,12.7,292
5,174,0,6.0,12,5,3,15.5,356
5,269,0,3.0,6,5,3,8.3,191
5,270,0,3.0,6,5,3,9.3,214
5,271,0,3.0,6,5,3,9.2,212
5,275,0,4.4,8,5,3,12.7,292
5,276,0,4.4,8,5,3,12.7,292
5,1186,0,4.4,8,9,3,14.7,338
5,1186,0,4.4,8,25,3,13.8,317
5,1193,0,4.4,8,9,3,14.7,338
5,1193,0,4.4,8,25,3,13.8,317
5,1194,0,4.4,8,9,3,14.7,338
5,1194,0,4.4,8,25,3,13.8,317
5,1196,0,4.4,8,9,3,14.7,338
5,1196,0,4.4,8,25,3,13.8,317
5,1913,3,2.0,4,5,3,9.1,209
5,1914,3,3.0,6,3,3,11.3,260
5,1923,3,2.0,4,5,3,10.0,230
5,1925,3,3.0,6,5,3,11.0,253
5,1936,6,3.0,6,5,3,11.1,255
5,1937,6,4.4,8,5,3,13.9,320
5,1940,6,4.4,8,3,3,16.1,370
5,1942,6,3.0,6,5,3,11.9,274
5,1943,6,4.4,8,5,3,14.1,324
5,2044,5,2.0,4,5,3,9.1,209
5,2044,5,2.0,4,25,3,8.7,200
5,2045,5,3.0,6,9,3,12.1,278
5,2045,5,3.0,6,25,3,11.0,253
5,2046,5,3.0,6,9,3,12.1,278
7,766,6,3.6,6,3,2,12.3,283
7,767,6,3.6,6,3,2,12.6,290
7,768,3,1.4,4,15,2,8.5,196
7,772,3,1.4,4,15,2,9.2,212
7,1123,0,3.6,6,15,2,11.5,264
7,1123,0,3.6,6,15,1,15.6,250
7,1124,0,3.6,6,15,2,11.5,264
7,1124,0,3.6,6,15,1,16.5,264
7,1127,0,2.4,4,15,2,8.2,189
7,1501,0,2.0,4,15,3,9.9,228
7,1501,0,2.0,4,25,3,9.8,225
7,1502,0,2.0,4,15,3,10.7,246
7,1503,0,2.4,4,15,2,8.2,189
7,1879,0,2.0,4,15,3,9.9,228
7,1879,0,2.0,4,25,3,9.8,225
7,1879,0,2.4,4,15,2,9.5,218
8,360,0,2.0,4,15,3,9.6,221
8,360,0,2.0,4,25,3,10.2,235
8,360,0,2.5,4,15,2,9.0,207
8,360,0,3.6,6,15,2,10.9,251
8,361,0,2.0,4,15,3,10.1,232
8,361,0,3.6,6,15,2,11.3,260
8,585,0,3.6,6,15,2,11.2,258
8,586,0,3.6,6,15,2,11.4,262
8,587,0,2.0,4,15,3,10.1,232
8,587,0,3.6,6,17,2,10.8,248
8,588,0,2.0,4,15,3,10.8,248
8,588,0,3.6,6,15,2,11.3,260
8,589,0,3.6,6,17,3,12.8,294
8,590,3,3.0,6,15,2,11.0,253
8,590,3,3.6,6,15,2,11.3,260
8,591,3,3.0,6,15,2,11.1,255
8,591,3,3.6,6,15,2,11.4,262
8,594,0,6.2,8,15,3,16.6,382
8,594,0,6.2,8,25,3,14.8,340
8,595,0,6.2,8,15,3,16.6,382
8,595,0,6.2,8,25,3,14.8,340
8,596,3,6.2,8,15,3,16.6,382
8,596,3,6.2,8,25,3,14.8,340
8,789,6,6.2,8,3,3,14.7,338
8,789,6,6.2,8,3,1,20.1,322
8,791,6,6.2,8,3,3,16.4,377
8,791,6,6.2,8,3,1,22.1,354
8,1692,6,3.6,6,15,2,12.3,283
8,1693,6,3.6,6,15,2,12.8,294
8,2012,0,3.6,6,15,2,11.4,262
8,2013,0,3.6,6,15,2,11.8,271
8,2014,0,3.6,6,15,3,12.6,290
9,439,0,3.6,6,15,2,11.2,258
9,439,0,3.6,6,25,2,11.7,269
9,440,0,3.6,6,15,2,10.5,242
9,441,0,6.2,8,15,3,12.8,294
9,441,0,6.2,8,25,3,12.7,292
9,443,0,6.2,8,15,3,16.6,382
9,443,0,6.2,8,25,3,14.8,340
9,556,5,6.2,8,15,3,12.0,276
9,556,5,6.2,8,26,3,11.2,258
9,563,0,1.4,4,15,2,7.8,179
9,563,0,1.4,4,25,2,7.8,179
9,563,0,1.8,4,15,2,8.8,202
9,563,0,1.8,4,25,2,8.2,189
9,564,0,2.0,4,15,0,7.1,192
9,565,0,1.4,4,3,2,7.7,177
9,565,0,1.4,4,25,2,7.1,163
9,780,3,2.4,4,3,2,9.1,209
9,780,3,3.6,6,3,2,12.0,276
9,780,3,3.6,6,3,1,16.2,259
9,781,3,2.4,4,3,2,10.0,230
9,781,3,3.6,6,3,2,12.6,290
9,781,3,3.6,6,3,1,17.0,272
9,804,1,4.3,6,1,2,15.1,347
9,804,1,5.3,8,1,2,15.9,366
9,804,1,5.3,8,1,1,20.9,334
9,805,1,5.3,8,1,2,16.5,380
9,805,1,5.3,8,1,1,21.5,344
9,806,1,5.3,8,1,2,16.5,380
9,806,1,5.3,8,1,1,21.5,344
9,807,1,5.3,8,1,2,16.5,380
9,807,1,5.3,8,1,1,22.6,362
9,808,4,5.3,8,1,2,16.5,380
9,808,4,5.3,8,1,1,21.5,344
9,809,4,5.3,8,1,2,16.5,380
9,809,4,5.3,8,1,1,22.6,362
9,810,4,4.8,8,3,2,18.0,414
9,810,4,6.0,8,3,2,18.8,432
9,810,4,6.0,8,3,1,25.7,411
9,812,4,4.8,8,3,2,18.2,419
9,812,4,6.0,8,3,2,18.9,435
9,812,4,6.0,8,3,1,25.8,413
9,1059,0,2.5,4,15,2,9.6,221
9,1059,0,3.6,6,15,2,10.6,244
9,1059,0,3.6,6,15,1,14.3,229
9,1061,0,2.4,4,15,2,8.7,200
9,1215,0,2.0,4,15,3,9.9,228
9,1215,0,2.5,4,15,2,8.0,184
9,1331,3,2.4,4,15,2,10.6,244
9,1331,3,2.4,4,25,2,10.2,235
9,1651,6,4.3,6,3,2,11.8,271
9,1651,6,4.3,6,3,1,16.8,269
9,1651,6,5.3,8,3,2,12.7,292
9,1651,6,5.3,8,3,1,16.9,270
9,1651,6,6.2,8,3,3,14.1,324
9,1652,6,4.3,6,3,2,12.6,290
9,1652,6,4.3,6,3,1,17.8,285
9,1652,6,5.3,8,3,2,13.0,299
9,1652,6,5.3,8,3,1,17.3,277
9,1652,6,6.2,8,3,3,14.3,329
9,1675,0,1.4,4,15,2,8.0,184
9,1675,0,1.4,4,25,2,7.5,173
9,1675,0,1.8,4,15,2,8.3,191
9,1675,0,1.8,4,24,2,7.9,182
9,1678,0,1.4,4,15,2,8.3,191
9,1678,0,1.4,4,25,2,8.0,184
9,1676,0,1.4,4,15,2,8.0,184
9,1676,0,1.4,4,25,2,7.5,172
9,1676,0,1.8,4,15,2,8.3,191
9,1676,0,1.8,4,24,2,7.9,182
9,1677,0,1.4,4,15,2,8.3,191
9,1677,0,1.4,4,25,2,8.0,184
9,1687,0,1.2,4,19,2,6.9,159
9,1687,0,1.2,4,24,2,6.9,159
9,1697,6,5.3,8,3,2,13.8,317
9,1697,6,5.3,8,3,1,18.4,294
9,1698,6,5.3,8,3,2,13.8,317
9,1698,6,5.3,8,3,1,18.4,294
9,1762,6,5.3,8,3,2,13.8,317
9,1762,6,5.3,8,3,1,18.4,294
9,1763,6,5.3,8,3,2,13.8,317
9,1763,6,5.3,8,3,1,18.4,294
9,1797,6,3.6,6,3,2,12.3,283
9,1798,6,3.6,6,3,2,12.6,290
9,1799,3,1.4,4,15,2,8.4,193
9,1799,3,1.4,4,25,2,8.1,186
9,1801,3,1.4,4,15,2,9.0,207
10,47,0,3.6,6,5,2,10.3,237
10,28,0,2.4,4,1,2,10.1,232
10,28,0,2.4,4,3,2,10.7,246
10,29,0,3.6,6,3,2,10.5,242
10,29,0,3.6,6,3,1,14.4,230
10,31,0,2.4,4,1,2,9.8,225
10,31,0,2.4,4,3,2,10.0,230
10,32,0,3.6,6,3,2,10.5,242
10,32,0,3.6,6,3,1,14.4,230
10,48,0,5.7,8,2,2,12.8,294
10,49,0,3.6,6,5,2,10.9,251
10,50,0,5.7,8,2,2,13.4,308
10,51,0,3.6,6,5,2,10.9,251
10,51,0,3.6,6,5,1,14.8,237
10,52,0,3.6,6,5,2,10.3,237
10,52,0,3.6,6,5,1,13.9,222
10,53,0,6.4,8,2,3,13.8,317
10,1787,2,3.6,6,3,2,12.0,276
10,1787,2,3.6,6,3,1,16.8,269
11,364,0,2.4,4,1,2,9.8,225
11,364,0,2.4,4,3,2,10.0,230
11,365,0,3.6,6,3,2,10.5,242
11,365,0,3.6,6,3,1,14.4,230
11,467,0,3.6,6,2,2,11.2,258
11,467,0,5.7,8,25,2,13.1,301
11,468,0,5.7,8,2,2,12.8,294
11,472,0,6.4,8,25,3,13.9,320
11,473,0,6.4,8,2,3,13.8,317
11,476,0,3.6,6,2,2,11.2,258
11,476,0,3.6,6,5,2,10.3,237
11,477,0,5.7,8,2,2,12.8,294
11,478,0,3.6,6,5,2,10.9,251
11,479,0,5.7,8,2,2,13.4,308
11,480,0,3.6,6,5,2,10.9,251
11,480,0,3.6,6,5,1,14.8,237
11,481,0,3.6,6,2,2,11.2,258
11,481,0,3.6,6,2,1,15.7,251
11,481,0,3.6,6,5,2,10.2,235
11,481,0,3.6,6,5,1,13.9,222
11,482,0,6.4,8,2,3,13.8,317
11,700,0,2.0,4,25,2,8.1,186
11,700,0,2.4,4,3,2,8.6,198
11,700,0,2.4,4,25,2,8.8,202
11,701,0,2.0,4,3,2,8.6,198
11,701,0,2.0,4,3,1,12.2,195
11,702,0,2.4,4,3,2,9.2,212
11,702,0,2.4,4,25,2,8.8,202
11,703,0,1.4,4,8,2,7.3,168
11,703,0,1.4,4,25,2,7.3,168
11,713,6,5.7,8,5,2,14.4,331
11,714,6,3.6,6,5,2,12.1,278
11,714,6,3.6,6,5,1,15.6,250
11,989,2,3.6,6,3,2,11.8,271
11,989,2,3.6,6,3,1,16.5,264
11,1100,3,2.4,4,1,2,11.1,255
11,1101,3,3.6,6,3,2,12.4,285
11,1102,3,3.6,6,3,2,12.0,276
11,1102,3,3.6,6,3,1,16.2,259
12,125,0,1.4,4,24,2,7.8,179
12,126,0,1.4,4,24,2,7.8,179
12,127,0,1.4,4,3,2,7.9,182
12,127,0,1.4,4,24,2,7.2,166
12,128,0,1.4,4,24,2,7.8,179
12,129,0,1.4,4,3,2,7.9,182
12,129,0,1.4,4,24,2,6.8,156
12,130,0,1.4,4,24,2,7.8,179
12,132,3,1.4,4,8,2,8.7,200
12,132,3,1.4,4,25,2,8.4,193
13,437,0,2.0,4,19,2,6.0,138
13,751,1,4.6,8,1,2,16.2,373
13,751,1,4.6,8,1,1,21.9,350
13,751,1,5.4,8,1,2,17.2,396
13,751,1,5.4,8,1,1,22.5,360
13,752,4,4.6,8,1,2,16.8,386
13,752,4,4.6,8,1,1,23.0,368
13,753,4,6.8,10,2,2,21.2,488
13,754,4,5.4,8,1,2,18.3,421
13,754,4,5.4,8,1,1,23.9,382
13,759,3,2.0,4,3,2,9.8,225
13,759,3,3.5,6,15,2,10.8,248
13,761,3,3.5,6,15,2,11.5,264
13,761,3,3.7,6,15,2,12.2,281
13,792,3,1.6,4,15,2,9.1,209
13,792,3,2.0,4,15,2,9.6,221
13,792,3,2.5,4,15,2,9.4,216
13,793,3,1.6,4,15,2,9.3,214
13,793,3,2.0,4,15,2,10.0,230
13,796,6,5.4,8,3,2,16.0,368
13,796,6,5.4,8,3,1,21.6,346
13,799,6,2.0,4,3,2,10.2,235
13,800,6,3.5,6,15,2,13.0,299
13,802,6,3.5,6,15,2,11.9,274
13,802,6,3.5,6,15,1,15.9,254
13,803,6,3.5,6,15,2,12.5,288
13,803,6,3.5,6,15,1,16.7,267
13,843,6,3.5,6,3,2,12.7,292
13,843,6,3.5,6,15,2,12.8,294
13,843,6,6.2,8,15,2,15.9,366
13,846,6,3.5,6,3,2,13.8,317
13,846,6,3.5,6,15,2,13.4,308
13,846,6,6.2,8,15,2,17.5,402
13,851,6,3.7,6,3,2,12.3,283
13,851,6,3.7,6,3,1,16.5,264
13,851,6,3.7,6,15,2,12.3,283
13,851,6,3.7,6,15,1,16.5,264
13,851,6,5.0,8,3,2,14.6,336
13,851,6,5.0,8,3,1,19.7,315
13,851,6,5.0,8,15,2,14.6,336
13,851,6,5.0,8,15,1,19.7,315
13,854,6,3.7,6,3,2,13.4,308
13,854,6,3.7,6,3,1,18.0,288
13,854,6,3.7,6,15,2,13.4,308
13,854,6,3.7,6,15,1,18.0,288
13,854,6,5.0,8,3,2,14.9,343
13,854,6,5.0,8,3,1,20.0,320
13,854,6,5.0,8,15,2,14.8,340
13,854,6,5.0,8,15,1,19.9,318
13,858,6,6.2,8,15,2,18.0,414
13,895,0,1.6,4,15,2,7.6,175
13,895,0,1.6,4,24,2,7.6,175
13,896,0,1.0,4,24,2,6.6,152
13,896,0,1.6,4,15,2,7.0,161
13,897,0,1.6,4,25,2,8.0,184
13,900,6,3.5,6,15,2,11.5,264
13,901,6,3.5,6,15,2,12.1,278
13,902,6,3.5,6,15,2,12.8,294
13,905,0,2.0,4,25,2,8.9,205
13,907,0,2.0,4,3,2,7.7,177
13,907,0,2.0,4,3,1,10.3,165
13,907,0,2.0,4,15,2,7.8,179
13,907,0,2.0,4,15,1,10.3,165
13,907,0,2.0,4,24,2,8.0,184
13,907,0,2.0,4,24,1,10.6,170
13,909,0,2.0,4,3,2,7.2,166
13,909,0,2.0,4,3,1,10.1,162
13,922,0,1.5,4,15,2,8.5,196
13,922,0,1.6,4,25,2,8.1,186
13,922,0,2.0,4,15,2,9.0,207
13,922,0,2.5,4,15,2,8.9,205
13,923,0,1.5,4,15,2,8.1,186
13,924,0,2.0,4,15,2,9.4,216
13,925,0,2.0,4,19,2,5.5,126
13,1265,0,3.7,6,3,2,10.2,235
13,1265,0,3.7,6,25,2,10.6,244
13,1265,0,5.0,8,3,2,11.5,264
13,1265,0,5.0,8,25,2,12.7,292
13,1265,0,5.8,8,25,3,13.2,304
13,1267,0,3.7,6,3,2,10.6,244
13,1766,0,2.0,4,15,2,9.1,209
13,1767,0,3.5,6,15,2,11.8,271
13,1768,0,3.5,6,15,2,10.3,237
13,1768,0,3.5,6,15,1,14.3,229
13,1769,0,3.5,6,15,2,11.2,258
13,1769,0,3.5,6,15,1,15.7,251
13,1788,3,1.6,4,15,2,9.5,218
13,1788,3,2.5,4,15,2,9.9,228
13,1789,3,1.6,4,15,2,10.1,232
13,1792,3,2.5,4,15,2,10.4,239
15,260,6,3.6,6,3,2,12.3,283
15,261,6,3.6,6,3,2,12.9,297
15,1625,1,4.3,6,1,2,15.1,347
15,1625,1,5.3,8,1,2,15.9,366
15,1625,1,5.3,8,1,1,20.9,334
15,1626,1,5.3,8,1,2,16.5,380
15,1626,1,5.3,8,1,1,21.5,344
15,1627,1,5.3,8,1,2,16.5,380
15,1627,1,5.3,8,1,1,21.5,344
15,1628,1,5.3,8,1,2,16.5,380
15,1628,1,5.3,8,1,1,22.6,362
15,1629,4,5.3,8,1,2,16.5,380
15,1629,4,5.3,8,1,1,21.5,344
15,1630,4,5.3,8,1,2,16.5,380
15,1630,4,5.3,8,1,1,22.6,362
15,1631,4,4.8,8,3,2,18.0,414
15,1631,4,6.0,8,3,2,18.8,432
15,1631,4,6.0,8,3,1,25.7,411
15,1633,4,4.8,8,3,2,18.2,419
15,1633,4,6.0,8,3,2,18.9,435
15,1633,4,6.0,8,3,1,25.8,413
15,1645,6,4.3,6,3,2,11.8,271
15,1645,6,4.3,6,3,1,16.8,269
15,1645,6,5.3,8,3,2,12.7,292
15,1645,6,5.3,8,3,1,16.9,270
15,1645,6,6.2,8,3,3,14.1,324
15,1646,6,4.3,6,3,2,12.6,290
15,1646,6,4.3,6,3,1,17.8,285
15,1646,6,5.3,8,3,2,13.0,299
15,1646,6,5.3,8,3,1,17.3,277
15,1646,6,6.2,8,3,3,14.3,329
15,1770,3,2.4,4,3,2,9.1,209
15,1770,3,3.6,6,3,2,12.0,276
15,1770,3,3.6,6,3,1,16.2,259
15,1771,3,2.4,4,3,2,10.0,230
15,1771,3,3.6,6,3,2,12.6,290
15,1771,3,3.6,6,3,1,17.0,272
15,2020,6,5.3,8,3,2,13.8,317
15,2020,6,5.3,8,3,1,18.4,294
15,2021,6,5.3,8,3,2,13.8,317
15,2021,6,5.3,8,3,1,18.4,294
15,2024,6,6.2,8,3,3,14.7,338
15,2024,6,6.2,8,3,1,20.1,322
15,2025,6,6.2,8,3,3,16.4,377
15,2025,6,6.2,8,3,1,22.1,354
15,2027,6,5.3,8,3,2,13.8,317
15,2027,6,5.3,8,3,1,18.4,294
15,2028,6,5.3,8,3,2,13.8,317
15,2028,6,5.3,8,3,1,18.4,294
16,263,0,2.4,4,19,2,7.9,182
16,263,0,2.4,4,22,2,8.1,186
16,263,0,2.4,4,25,2,8.7,200
16,263,0,3.5,6,3,2,9.1,209
16,263,0,3.5,6,15,2,9.6,221
16,263,0,3.5,6,25,2,10.9,251
16,265,0,2.0,4,19,2,4.8,110
16,496,0,1.8,4,19,2,7.0,161
16,496,0,1.8,4,22,2,7.2,166
16,496,0,1.8,4,24,2,7.6,175
16,561,3,3.5,6,3,2,10.7,246
16,558,3,2.4,4,2,2,9.1,209
16,559,3,2.4,4,2,2,9.4,216
16,560,5,1.5,4,22,2,6.3,145
16,560,5,1.5,4,25,2,6.9,159
16,898,3,1.5,4,2,2,7.5,172
16,898,3,1.5,4,24,2,7.7,177
16,1324,2,3.5,6,3,2,10.6,244
16,1370,3,3.5,6,2,2,11.5,265
16,1372,3,3.5,6,2,2,12.0,276
16,1507,6,3.5,6,2,2,13.4,308
17,262,0,1.6,4,3,2,7.7,177
17,262,0,1.6,4,25,2,7.7,177
17,765,0,2.0,4,3,2,8.6,198
17,765,0,2.0,4,25,2,8.5,196
17,784,0,5.0,8,5,3,13.2,304
17,947,0,3.8,6,5,2,11.1,255
17,1617,3,3.3,6,3,2,11.2,258
17,1618,3,3.3,6,3,2,11.6,267
17,1620,3,2.4,4,3,2,10.3,237
17,1621,3,2.0,4,3,2,11.5,264
17,1621,3,2.4,4,3,2,11.1,255
17,1670,0,2.0,4,3,2,9.6,221
17,1670,0,2.4,4,3,2,8.5,196
17,1671,0,2.4,4,15,2,6.2,143
17,1672,0,2.4,4,15,2,6.3,145
17,1814,3,2.0,4,3,2,9.3,214
17,1814,3,2.0,4,25,2,10.1,232
17,1814,3,2.4,4,3,2,10.0,230
17,1815,3,2.0,4,3,2,10.5,242
17,1815,3,2.4,4,3,2,10.6,244
17,1874,0,1.6,4,8,2,7.7,177
17,1874,0,1.6,4,25,2,8.0,184
17,1875,0,1.6,4,3,2,8.8,202
17,1875,0,1.6,4,25,2,8.5,196
18,1415,0,3.7,6,16,3,10.2,235
18,1416,0,3.7,6,16,3,10.8,248
18,1419,0,3.5,6,16,3,7.5,172
18,1420,0,3.5,6,16,3,8.2,189
18,1426,0,3.7,6,16,3,11.5,265
18,1429,0,3.7,6,16,3,11.7,269
18,1429,0,3.7,6,25,3,12.3,283
18,1430,0,3.7,6,16,3,11.1,255
18,1430,0,3.7,6,25,3,11.6,267
18,1434,0,3.7,6,16,3,11.0,253
18,1434,0,5.6,8,16,3,12.3,283
18,1435,0,3.7,6,16,3,11.6,267
18,1435,0,5.6,8,16,3,12.8,294
18,1436,0,3.5,6,16,3,7.6,175
18,1446,3,3.7,6,16,3,11.8,271
18,1447,3,3.5,6,19,3,10.6,244
18,1448,3,3.5,6,19,3,11.0,253
18,1449,6,2.5,4,19,2,8.5,196
18,1450,3,3.7,6,16,3,12.8,294
18,1450,3,5.0,8,16,3,14.5,334
18,1451,6,5.6,8,16,3,15.0,345
19,866,5,3.0,6,17,3,10.3,237
19,887,5,3.0,6,17,3,10.6,244
19,894,5,5.0,8,17,3,12.8,294
19,1975,0,2.0,4,17,3,10.5,242
19,1978,0,3.0,6,17,3,12.2,281
19,1984,0,5.0,8,17,3,13.3,306
19,1984,0,5.0,8,17,1,18.1,290
19,1985,0,5.0,8,17,3,13.3,306
19,1986,0,3.0,6,17,3,12.4,285
19,1990,0,5.0,8,17,3,13.3,306
19,1990,0,5.0,8,17,1,17.5,280
19,1992,0,3.0,6,17,3,12.4,285
19,1996,0,5.0,8,17,3,13.3,306
19,1996,0,5.0,8,17,1,17.5,280
19,1997,0,5.0,8,17,3,13.3,306
19,1999,0,5.0,8,17,3,13.3,306
19,2000,0,5.0,8,15,3,13.1,301
19,2001,0,5.0,8,15,3,12.6,290
19,2002,0,5.0,8,15,3,13.7,315
19,2003,0,5.0,8,15,3,13.5,310
19,2004,0,5.0,8,15,3,13.7,315
19,2005,0,5.0,8,15,3,13.5,310
20,485,3,2.4,4,6,2,9.5,218
20,485,3,3.2,6,6,2,10.5,242
20,486,3,2.4,4,6,2,10.0,230
20,486,3,3.2,6,6,2,10.8,248
20,489,3,2.4,4,6,2,10.1,232
20,489,3,3.2,6,6,2,11.0,253
20,493,3,2.4,4,6,2,10.9,251
20,493,3,3.2,6,6,2,11.6,267
20,521,3,2.0,4,19,2,9.9,228
20,521,3,2.0,4,3,2,9.8,225
20,521,3,2.0,4,24,2,9.1,209
20,521,3,2.4,4,3,2,9.8,225
20,521,3,2.4,4,24,2,9.4,216
20,522,3,2.4,4,3,2,10.2,235
20,522,3,2.4,4,24,2,9.4,216
20,523,3,2.4,4,19,2,11.1,255
20,991,6,5.7,8,5,2,14.8,340
20,992,6,3.0,6,5,0,9.9,267
20,993,6,3.6,6,5,2,12.1,278
20,993,6,3.6,6,5,1,15.6,250
20,996,6,6.4,8,5,3,15.8,363
20,1363,3,2.0,4,19,2,9.9,228
20,1363,3,2.0,4,3,2,9.8,225
20,1363,3,2.0,4,24,2,9.1,209
20,1363,3,2.4,4,3,2,9.8,225
20,1363,3,2.4,4,24,2,9.4,216
20,1364,3,2.4,4,3,2,10.2,235
20,1364,3,2.4,4,24,2,9.4,216
20,1365,3,2.4,4,19,2,11.1,255
20,1896,3,3.6,6,2,2,12.8,294
20,1896,3,3.6,6,25,2,12.8,294
20,1900,3,3.6,6,2,2,13.4,308
20,1900,3,3.6,6,25,2,13.4,308
21,438,0,3.3,6,3,2,10.9,251
21,912,0,1.8,4,3,2,8.3,191
21,912,0,1.8,4,25,2,8.0,184
21,912,0,2.0,4,3,2,8.4,193
21,912,0,2.0,4,25,2,8.4,193
21,915,0,1.6,4,3,2,9.7,223
21,915,0,1.6,4,25,2,9.8,225
21,915,0,2.0,4,3,2,8.4,193
21,915,0,2.0,4,25,2,8.5,196
21,916,0,1.6,4,3,2,9.4,216
21,916,0,1.6,4,25,2,9.6,221
21,916,0,2.0,4,3,2,8.4,193
21,916,0,2.0,4,25,2,8.6,198
21,1326,0,2.0,4,3,2,9.9,228
21,1326,0,2.4,4,3,2,8.7,200
21,1328,0,2.4,4,15,2,6.2,143
21,1329,0,2.4,4,15,2,6.4,147
