make,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions
AUDI,SDV,2.0,4,AS,Z,12.0,8.1,10.2,28,235
AUDI,SDV,3.0,6,AS,Z,12.8,8.6,10.9,26,251
AUDI,SDV,3.0,6,AS,D,9.8,6.2,8.1,35,217
AUDI,SDV,3.0,6,AS,Z,13.3,8.5,11.2,25,262
AUDI,SDV,3.0,6,AS,D,9.8,6.2,8.1,35,217
AUDI,SDV,3.0,6,AS,Z,13.1,8.8,11.2,25,258
AUDI,SDV,4.0,8,AS,Z,13.7,8.3,11.3,25,265
AUDI,SDV,3.0,6,AS,D,9.8,6.5,8.4,34,224
AUDI,SDV,3.0,6,AS,Z,13.1,8.8,11.2,25,258
AUDI,SDV,4.0,8,AS,Z,14.7,9.7,12.5,23,288
AUDI,SDV,6.3,12,AS,Z,18.7,11.5,15.5,18,363
AUDI,SDV,3.0,6,AS,D,9.8,6.5,8.4,34,224
AUDI,SV,2.0,4,AS,Z,11.8,8.8,10.5,27,242
AUDI,UDV,2.0,4,AS,Z,12.0,8.5,10.4,27,239
AUDI,UDV,3.0,6,AS,Z,12.9,9.2,11.2,25,258
AUDI,UDV,3.0,6,AS,D,10.2,7.8,9.0,31,244
AUDI,UDV,2.0,4,AS,Z,9.9,8.3,9.2,31,212
AUDI,SDV,3.0,6,AS,Z,15.1,10.9,13.2,21,304
AUDI,SDV,3.0,6,AS,D,12.4,8.7,10.7,26,290
AUDI,UDV,4.2,8,A,Z,17.6,11.0,14.6,19,336
AUDI,UDV,4.2,8,M,Z,21.2,13.4,17.7,16,407
AUDI,UDV,5.2,10,A,Z,18.2,10.6,14.8,19,347
AUDI,UDV,5.2,10,M,Z,21.1,13.8,17.8,16,409
AUDI,UDV,4.2,8,A,Z,17.6,11.0,14.6,19,336
AUDI,UDV,4.2,8,M,Z,21.2,13.4,17.7,16,407
AUDI,UDV,5.2,10,A,Z,18.2,10.6,14.8,19,347
AUDI,UDV,5.2,10,M,Z,21.1,13.8,17.8,16,409
AUDI,UDV,4.2,8,A,Z,15.3,10.9,13.3,21,306
AUDI,UDV,4.2,8,A,Z,15.2,11.3,13.4,21,308
AUDI,SDV,4.0,8,AS,Z,15.5,8.8,12.5,23,293
AUDI,UDV,3.0,6,A,Z,13.2,9.2,11.4,25,262
AUDI,UDV,3.0,6,M,Z,14.6,9.8,12.4,23,285
AUDI,UDV,3.0,6,A,Z,13.2,9.2,11.4,25,262
AUDI,UDV,3.0,6,M,Z,14.6,9.8,12.4,23,285
AUDI,UDV,3.0,6,A,Z,13.3,9.5,11.6,24,267
AUDI,SDV,4.0,8,A,Z,14.2,9.7,12.2,23,281
AUDI,SDV,4.0,8,A,Z,14.2,9.7,12.2,23,281
AUDI,SDV,4.0,8,AS,Z,15.8,9.2,12.8,22,300
AUDI,UDV,3.0,6,AS,Z,14.9,10.1,12.7,22,292
AUDI,UDV,2.0,4,A,Z,10.4,7.6,9.1,31,209
AUDI,UDV,2.0,4,A,Z,10.4,7.6,9.1,31,209
AUDI,UDV,2.0,4,A,Z,11.5,8.8,10.3,27,237
AUDI,UDV,2.0,4,A,Z,11.5,8.8,10.3,27,237
BENTLEY,UDV,4.0,8,AS,Z,16.3,9.8,13.4,21,314
BENTLEY,UDV,6.0,12,AS,Z,18.8,11.5,15.5,18,356
BENTLEY,UDV,4.0,8,AS,Z,17.4,10.2,14.2,20,332
BENTLEY,UDV,6.0,12,AS,Z,20.0,12.2,16.5,17,380
BENTLEY,UDV,6.0,12,AS,Z,20.0,12.2,16.5,17,380
BENTLEY,SDV,6.0,12,AS,Z,20.3,11.9,16.5,17,388
BENTLEY,SDV,6.8,8,AS,Z,22.3,14.9,19.0,15,437
BMW,UDV,2.0,4,A,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.4,6.7,8.7,32,200
BMW,UDV,2.0,4,A,Z,10.2,7.0,8.8,32,202
BMW,UDV,2.0,4,A,D,7.6,5.5,6.7,42,181
BMW,SV,2.0,4,A,D,7.6,5.5,6.7,42,181
BMW,UDV,2.0,4,A,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.4,6.7,8.7,32,200
BMW,UDV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,SDV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,SV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,A,Z,11.4,7.3,9.6,29,221
BMW,UDV,3.0,6,M,Z,11.8,7.9,10.0,28,230
BMW,UDV,3.0,6,A,Z,11.7,7.8,9.9,29,228
BMW,UDV,3.0,6,M,Z,11.9,8.3,10.3,27,237
BMW,SDV,3.0,6,A,Z,11.9,8.0,10.1,28,232
BMW,UDV,2.0,4,A,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.4,6.7,8.7,32,200
BMW,UDV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,A,Z,11.4,7.3,9.6,29,221
BMW,UDV,3.0,6,M,Z,11.8,7.9,10.0,28,230
BMW,UDV,3.0,6,A,Z,11.7,7.8,9.9,29,228
BMW,UDV,3.0,6,M,Z,11.9,8.3,10.3,27,237
BMW,SDV,2.0,4,A,Z,10.2,7.0,8.8,32,202
BMW,SDV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,SDV,3.0,6,A,D,9.2,6.4,7.9,36,213
BMW,SDV,3.0,6,A,Z,11.9,8.0,10.1,28,232
BMW,SDV,3.0,6,A,Z,12.5,8.6,10.7,26,246
BMW,SDV,4.4,8,A,Z,14.4,9.6,12.2,23,281
BMW,SDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,UDV,3.0,6,A,Z,11.9,8.0,10.1,28,232
BMW,UDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,UDV,4.4,8,A,Z,14.4,9.6,12.2,23,281
BMW,UDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,SDV,3.0,6,A,Z,12.5,8.6,10.7,26,246
BMW,SDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,SDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,SDV,6.0,12,A,Z,18.7,11.5,15.5,18,356
BMW,UDV,3.0,6,A,Z,9.2,7.1,8.3,34,191
BMW,SDV,3.0,6,A,Z,10.5,7.9,9.3,30,214
BMW,SDV,3.0,6,A,Z,10.5,7.6,9.2,31,212
BMW,SDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,SDV,4.4,8,A,Z,15.0,9.8,12.7,22,292
BMW,SDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,SDV,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,UDV,2.0,4,A,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,A,Z,13.2,8.9,11.3,25,260
BMW,UDV,2.0,4,A,Z,11.2,8.5,10.0,28,230
BMW,UDV,3.0,6,A,Z,12.6,9.1,11.0,26,253
BMW,SDV,3.0,6,A,Z,12.9,8.8,11.1,25,255
BMW,SDV,4.4,8,A,Z,16.3,10.9,13.9,20,320
BMW,SDV,4.4,8,A,Z,18.1,13.7,16.1,18,370
BMW,SDV,3.0,6,A,Z,13.6,9.8,11.9,24,274
BMW,SDV,4.4,8,A,Z,16.4,11.3,14.1,20,324
BMW,UDV,2.0,4,A,Z,10.8,7.1,9.1,31,209
BMW,UDV,2.0,4,M,Z,10.4,6.7,8.7,32,200
BMW,UDV,3.0,6,AM,Z,13.7,10.1,12.1,23,278
BMW,UDV,3.0,6,M,Z,12.7,9.0,11.0,26,253
BMW,UDV,3.0,6,AM,Z,13.7,10.1,12.1,23,278
BUICK,SDV,3.6,6,A,X,14.3,9.9,12.3,23,283
BUICK,SDV,3.6,6,A,X,14.6,10.2,12.6,22,290
BUICK,UDV,1.4,4,AS,X,9.5,7.2,8.5,33,196
BUICK,UDV,1.4,4,AS,X,10.2,8.0,9.2,31,212
BUICK,SDV,3.6,6,AS,X,13.7,8.7,11.5,25,264
BUICK,SDV,3.6,6,AS,E,18.4,12.2,15.6,18,250
BUICK,SDV,3.6,6,AS,X,13.7,8.9,11.5,25,264
BUICK,SDV,3.6,6,AS,E,19.4,13.0,16.5,17,264
BUICK,SDV,2.4,4,AS,X,9.6,6.5,8.2,34,189
BUICK,SDV,2.0,4,AS,Z,11.5,7.9,9.9,29,228
BUICK,SDV,2.0,4,M,Z,11.6,7.5,9.8,29,225
BUICK,SDV,2.0,4,AS,Z,12.3,8.7,10.7,26,246
BUICK,SDV,2.4,4,AS,X,9.6,6.5,8.2,34,189
BUICK,UDV,2.0,4,AS,Z,11.5,7.9,9.9,29,228
BUICK,UDV,2.0,4,M,Z,11.6,7.5,9.8,29,225
BUICK,UDV,2.4,4,AS,X,11.3,7.4,9.5,30,218
CADILLAC,UDV,2.0,4,AS,Z,11.3,7.5,9.6,29,221
CADILLAC,UDV,2.0,4,M,Z,12.1,7.9,10.2,28,235
CADILLAC,UDV,2.5,4,AS,X,10.5,7.2,9.0,31,207
CADILLAC,UDV,3.6,6,AS,X,12.8,8.5,10.9,26,251
CADILLAC,UDV,2.0,4,AS,Z,11.8,8.1,10.1,28,232
CADILLAC,UDV,3.6,6,AS,X,13.1,9.0,11.3,25,260
CADILLAC,SDV,3.6,6,AS,X,13.2,8.7,11.2,25,258
CADILLAC,SDV,3.6,6,AS,X,13.3,9.0,11.4,25,262
CADILLAC,SDV,2.0,4,AS,Z,11.9,7.9,10.1,28,232
CADILLAC,SDV,3.6,6,AS,X,12.9,8.2,10.8,26,248
CADILLAC,SDV,2.0,4,AS,Z,12.6,8.5,10.8,26,248
CADILLAC,SDV,3.6,6,AS,X,13.1,9.0,11.3,25,260
CADILLAC,SDV,3.6,6,AS,Z,15.1,9.9,12.8,22,294
CADILLAC,SV,3.0,6,AS,X,12.7,8.9,11.0,26,253
CADILLAC,SV,3.6,6,AS,X,13.3,8.9,11.3,25,260
CADILLAC,SV,3.0,6,AS,X,12.8,9.1,11.1,25,255
CADILLAC,SV,3.6,6,AS,X,13.3,9.0,11.4,25,262
CADILLAC,SDV,6.2,8,AS,Z,19.7,12.9,16.6,17,382
CADILLAC,SDV,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,SDV,6.2,8,AS,Z,19.7,12.9,16.6,17,382
CADILLAC,SDV,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,SV,6.2,8,AS,Z,19.7,12.9,16.6,17,382
CADILLAC,SV,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,SDV,6.2,8,A,Z,17.0,11.8,14.7,19,338
CADILLAC,SDV,6.2,8,A,E,23.3,16.1,20.1,14,322
CADILLAC,SDV,6.2,8,A,Z,18.8,13.4,16.4,17,377
CADILLAC,SDV,6.2,8,A,E,25.7,17.8,22.1,13,354
CADILLAC,SDV,3.6,6,AS,X,14.3,9.8,12.3,23,283
CADILLAC,SDV,3.6,6,AS,X,14.8,10.4,12.8,22,294
CADILLAC,SDV,3.6,6,AS,X,13.6,8.6,11.4,25,262
CADILLAC,SDV,3.6,6,AS,X,14.0,9.1,11.8,24,271
CADILLAC,SDV,3.6,6,AS,Z,14.8,9.8,12.6,22,290
CHEVROLET,UDV,3.6,6,AS,X,13.2,8.7,11.2,25,258
CHEVROLET,UDV,3.6,6,M,X,14.2,8.6,11.7,24,269
CHEVROLET,UDV,3.6,6,AS,X,12.7,7.9,10.5,27,242
CHEVROLET,UDV,6.2,8,AS,Z,15.3,9.8,12.8,22,294
CHEVROLET,UDV,6.2,8,M,Z,15.0,9.9,12.7,22,292
CHEVROLET,UDV,6.2,8,AS,Z,19.7,12.9,16.6,17,382
CHEVROLET,UDV,6.2,8,M,Z,16.7,12.5,14.8,19,340
CHEVROLET,UDV,6.2,8,AS,Z,14.9,8.5,12.0,24,276
CHEVROLET,UDV,6.2,8,M,Z,13.7,8.2,11.2,25,258
CHEVROLET,SDV,1.4,4,AS,X,9.1,6.3,7.8,36,179
CHEVROLET,SDV,1.4,4,M,X,9.1,6.3,7.8,36,179
CHEVROLET,SDV,1.8,4,AS,X,10.5,6.7,8.8,32,202
CHEVROLET,SDV,1.8,4,M,X,9.5,6.5,8.2,34,189
CHEVROLET,SDV,2.0,4,AS,D,8.7,5.1,7.1,40,192
CHEVROLET,SDV,1.4,4,A,X,9.1,6.0,7.7,37,177
CHEVROLET,SDV,1.4,4,M,X,8.4,5.6,7.1,40,163
CHEVROLET,UDV,2.4,4,A,X,10.5,7.3,9.1,31,209
CHEVROLET,UDV,3.6,6,A,X,13.9,9.6,12.0,24,276
CHEVROLET,UDV,3.6,6,A,E,18.8,13.1,16.2,17,259
CHEVROLET,UDV,2.4,4,A,X,11.5,8.2,10.0,28,230
CHEVROLET,UDV,3.6,6,A,X,14.8,9.9,12.6,22,290
CHEVROLET,UDV,3.6,6,A,E,19.8,13.6,17.0,17,272
CHEVROLET,CDV,4.3,6,A,X,17.1,12.7,15.1,19,347
CHEVROLET,CDV,5.3,8,A,X,18.0,13.4,15.9,18,366
CHEVROLET,CDV,5.3,8,A,E,23.5,17.7,20.9,14,334
CHEVROLET,CDV,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,CDV,5.3,8,A,E,23.7,18.8,21.5,13,344
CHEVROLET,CDV,5.3,8,A,X,18.6,13.9,16.5,17,380
CHEVROLET,CDV,5.3,8,A,E,23.9,18.5,21.5,13,344
CHEVROLET,CDV,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,CDV,5.3,8,A,E,25.3,19.3,22.6,12,362
CHEVROLET,CDV,5.3,8,A,X,18.6,13.9,16.5,17,380
CHEVROLET,CDV,5.3,8,A,E,23.9,18.5,21.5,13,344
CHEVROLET,CDV,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,CDV,5.3,8,A,E,25.3,19.3,22.6,12,362
CHEVROLET,CDV,4.8,8,A,X,21.1,14.2,18.0,16,414
CHEVROLET,CDV,6.0,8,A,X,21.9,15.0,18.8,15,432
CHEVROLET,CDV,6.0,8,A,E,30.0,20.4,25.7,11,411
CHEVROLET,CDV,4.8,8,A,X,21.3,14.3,18.2,16,419
CHEVROLET,CDV,6.0,8,A,X,22.1,15.0,18.9,15,435
CHEVROLET,CDV,6.0,8,A,E,30.2,20.5,25.8,11,413
CHEVROLET,SDV,2.5,4,AS,X,11.3,7.5,9.6,29,221
CHEVROLET,SDV,3.6,6,AS,X,12.6,8.2,10.6,27,244
CHEVROLET,SDV,3.6,6,AS,E,16.7,11.3,14.3,20,229
CHEVROLET,SDV,2.4,4,AS,X,10.0,7.0,8.7,32,200
CHEVROLET,SDV,2.0,4,AS,Z,11.5,7.9,9.9,29,228
CHEVROLET,SDV,2.5,4,AS,X,9.3,6.4,8.0,35,184
CHEVROLET,UDV,2.4,4,AS,X,12.2,8.6,10.6,27,244
CHEVROLET,UDV,2.4,4,M,X,11.8,8.3,10.2,28,235
CHEVROLET,DT,4.3,6,A,X,13.4,9.9,11.8,24,271
CHEVROLET,DT,4.3,6,A,E,18.9,14.2,16.8,17,269
CHEVROLET,DT,5.3,8,A,X,14.6,10.3,12.7,22,292
CHEVROLET,DT,5.3,8,A,E,19.5,13.7,16.9,17,270
CHEVROLET,DT,6.2,8,A,Z,16.3,11.4,14.1,20,324
CHEVROLET,DT,4.3,6,A,X,14.2,10.6,12.6,22,290
CHEVROLET,DT,4.3,6,A,E,20.0,15.1,17.8,16,285
CHEVROLET,DT,5.3,8,A,X,14.9,10.6,13.0,22,299
CHEVROLET,DT,5.3,8,A,E,19.9,14.2,17.3,16,277
CHEVROLET,DT,6.2,8,A,Z,16.4,11.7,14.3,20,329
CHEVROLET,UDV,1.4,4,AS,X,9.1,6.7,8.0,35,184
CHEVROLET,UDV,1.4,4,M,X,8.5,6.2,7.5,38,173
CHEVROLET,UDV,1.8,4,AS,X,9.6,6.6,8.3,34,191
CHEVROLET,UDV,1.8,4,M,X,8.9,6.7,7.9,36,182
CHEVROLET,UDV,1.4,4,AS,X,9.4,7.0,8.3,34,191
CHEVROLET,UDV,1.4,4,M,X,8.8,7.0,8.0,35,184
CHEVROLET,SDV,1.4,4,AS,X,9.1,6.7,8.0,35,184
CHEVROLET,SDV,1.4,4,M,X,8.5,6.2,7.5,38,172
CHEVROLET,SDV,1.8,4,AS,X,9.6,6.6,8.3,34,191
CHEVROLET,SDV,1.8,4,M,X,8.9,6.7,7.9,36,182
CHEVROLET,SDV,1.4,4,AS,X,9.4,7.0,8.3,34,191
CHEVROLET,SDV,1.4,4,M,X,8.8,7.0,8.0,35,184
CHEVROLET,UDV,1.2,4,AV,X,7.7,6.0,6.9,41,159
CHEVROLET,UDV,1.2,4,M,X,7.6,6.0,6.9,41,159
CHEVROLET,SDV,5.3,8,A,X,16.0,11.1,13.8,20,317
CHEVROLET,SDV,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,SDV,5.3,8,A,X,16.0,11.1,13.8,20,317
CHEVROLET,SDV,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,SDV,5.3,8,A,X,16.0,11.1,13.8,20,317
CHEVROLET,SDV,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,SDV,5.3,8,A,X,16.0,11.1,13.8,20,317
CHEVROLET,SDV,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,SDV,3.6,6,A,X,14.3,9.9,12.3,23,283
CHEVROLET,SDV,3.6,6,A,X,14.6,10.2,12.6,22,290
CHEVROLET,UDV,1.4,4,AS,X,9.4,7.1,8.4,34,193
CHEVROLET,UDV,1.4,4,M,X,9.1,6.8,8.1,35,186
CHEVROLET,UDV,1.4,4,AS,X,10.0,7.8,9.0,31,207
CHRYSLER,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
CHRYSLER,UDV,2.4,4,A,X,11.7,8.2,10.1,28,232
CHRYSLER,UDV,2.4,4,A,X,12.9,8.1,10.7,26,246
CHRYSLER,UDV,3.6,6,A,X,12.5,8.1,10.5,27,242
CHRYSLER,UDV,3.6,6,A,E,17.0,11.2,14.4,20,230
CHRYSLER,SDV,2.4,4,A,X,11.2,8.0,9.8,29,225
CHRYSLER,SDV,2.4,4,A,X,12.0,7.6,10.0,28,230
CHRYSLER,SDV,3.6,6,A,X,12.5,8.1,10.5,27,242
CHRYSLER,SDV,3.6,6,A,E,17.0,11.2,14.4,20,230
CHRYSLER,SDV,5.7,8,A,X,15.8,9.2,12.8,22,294
CHRYSLER,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
CHRYSLER,SDV,5.7,8,A,X,16.1,10.0,13.4,21,308
CHRYSLER,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
CHRYSLER,SDV,3.6,6,A,E,17.3,11.7,14.8,19,237
CHRYSLER,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
CHRYSLER,SDV,3.6,6,A,E,16.8,10.3,13.9,20,222
CHRYSLER,SDV,6.4,8,A,Z,16.7,10.3,13.8,20,317
CHRYSLER,CDV,3.6,6,A,X,14.1,9.5,12.0,24,276
CHRYSLER,CDV,3.6,6,A,E,19.7,13.3,16.8,17,269
DODGE,SDV,2.4,4,A,X,11.2,8.0,9.8,29,225
DODGE,SDV,2.4,4,A,X,12.0,7.6,10.0,28,230
DODGE,SDV,3.6,6,A,X,12.5,8.1,10.5,27,242
DODGE,SDV,3.6,6,A,E,17.0,11.2,14.4,20,230
DODGE,SDV,3.6,6,A,X,13.2,8.7,11.2,25,258
DODGE,SDV,5.7,8,M,X,15.6,10.0,13.1,22,301
DODGE,SDV,5.7,8,A,X,15.8,9.2,12.8,22,294
DODGE,SDV,6.4,8,M,Z,16.8,10.4,13.9,20,320
DODGE,SDV,6.4,8,A,Z,16.7,10.3,13.8,20,317
DODGE,SDV,3.6,6,A,X,13.2,8.7,11.2,25,258
DODGE,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
DODGE,SDV,5.7,8,A,X,15.8,9.2,12.8,22,294
DODGE,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
DODGE,SDV,5.7,8,A,X,16.1,10.0,13.4,21,308
DODGE,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
DODGE,SDV,3.6,6,A,E,17.3,11.7,14.8,19,237
DODGE,SDV,3.6,6,A,X,13.2,8.7,11.2,25,258
DODGE,SDV,3.6,6,A,E,18.3,12.6,15.7,18,251
DODGE,SDV,3.6,6,A,X,12.3,7.6,10.2,28,235
DODGE,SDV,3.6,6,A,E,16.8,10.3,13.9,20,222
DODGE,SDV,6.4,8,A,Z,16.7,10.3,13.8,20,317
DODGE,SDV,2.0,4,M,X,9.4,6.5,8.1,35,186
DODGE,SDV,2.4,4,A,X,10.1,6.8,8.6,33,198
DODGE,SDV,2.4,4,M,X,10.5,6.7,8.8,32,202
DODGE,SDV,2.0,4,A,X,9.9,7.0,8.6,33,198
DODGE,SDV,2.0,4,A,E,14.2,9.8,12.2,23,195
DODGE,SDV,2.4,4,A,X,10.6,7.5,9.2,31,212
DODGE,SDV,2.4,4,M,X,10.2,7.0,8.8,32,202
DODGE,SDV,1.4,4,AM,X,8.4,5.9,7.3,39,168
DODGE,SDV,1.4,4,M,X,8.5,5.8,7.3,39,168
DODGE,SDV,5.7,8,A,X,17.3,10.8,14.4,20,331
DODGE,SDV,3.6,6,A,X,13.9,9.8,12.1,23,278
DODGE,SDV,3.6,6,A,E,17.7,13.0,15.6,18,250
DODGE,CDV,3.6,6,A,X,13.7,9.4,11.8,24,271
DODGE,CDV,3.6,6,A,E,19.2,13.1,16.5,17,264
DODGE,UDV,2.4,4,A,X,12.7,9.1,11.1,25,255
DODGE,UDV,3.6,6,A,X,14.5,9.9,12.4,23,285
DODGE,UDV,3.6,6,A,X,14.2,9.4,12.0,24,276
DODGE,UDV,3.6,6,A,E,18.9,12.9,16.2,17,259
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,UDV,1.4,4,A,X,8.7,6.9,7.9,36,182
FIAT,UDV,1.4,4,M,X,7.9,6.3,7.2,39,166
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,UDV,1.4,4,A,X,8.7,6.9,7.9,36,182
FIAT,UDV,1.4,4,M,X,7.6,5.9,6.8,42,156
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,SV,1.4,4,AM,X,10.0,7.2,8.7,32,200
FIAT,SV,1.4,4,M,X,9.3,7.2,8.4,34,193
FORD,SDV,2.0,4,AV,X,5.6,6.4,6.0,47,138
FORD,CDV,4.6,8,A,X,17.7,14.4,16.2,17,373
FORD,CDV,4.6,8,A,E,24.1,19.2,21.9,13,350
FORD,CDV,5.4,8,A,X,19.3,14.7,17.2,16,396
FORD,CDV,5.4,8,A,E,24.9,19.6,22.5,13,360
FORD,CDV,4.6,8,A,X,18.6,14.6,16.8,17,386
FORD,CDV,4.6,8,A,E,25.5,20.0,23.0,12,368
FORD,CDV,6.8,10,A,X,23.9,17.8,21.2,13,488
FORD,CDV,5.4,8,A,X,20.6,15.5,18.3,15,421
FORD,CDV,5.4,8,A,E,26.7,20.5,23.9,12,382
FORD,UDV,2.0,4,A,X,11.3,7.9,9.8,29,225
FORD,UDV,3.5,6,AS,X,12.6,8.7,10.8,26,248
FORD,UDV,3.5,6,AS,X,13.3,9.3,11.5,25,264
FORD,UDV,3.7,6,AS,X,13.7,10.4,12.2,23,281
FORD,UDV,1.6,4,AS,X,10.4,7.4,9.1,31,209
FORD,UDV,2.0,4,AS,X,10.9,8.0,9.6,29,221
FORD,UDV,2.5,4,AS,X,10.9,7.5,9.4,30,216
FORD,UDV,1.6,4,AS,X,10.5,7.9,9.3,30,214
FORD,UDV,2.0,4,AS,X,11.2,8.5,10.0,28,230
FORD,SDV,5.4,8,A,X,18.2,13.3,16.0,18,368
FORD,SDV,5.4,8,A,E,24.5,18.0,21.6,13,346
FORD,SDV,2.0,4,A,X,11.8,8.3,10.2,28,235
FORD,SDV,3.5,6,AS,X,14.8,10.7,13.0,22,299
FORD,SDV,3.5,6,AS,X,13.7,9.7,11.9,24,274
FORD,SDV,3.5,6,AS,E,18.3,12.9,15.9,18,254
FORD,SDV,3.5,6,AS,X,14.3,10.3,12.5,23,288
FORD,SDV,3.5,6,AS,E,18.9,13.9,16.7,17,267
FORD,DT,3.5,6,A,X,14.5,10.6,12.7,22,292
FORD,DT,3.5,6,AS,X,14.6,10.6,12.8,22,294
FORD,DT,6.2,8,AS,X,18.3,12.9,15.9,18,366
FORD,DT,3.5,6,A,X,15.9,11.3,13.8,20,317
FORD,DT,3.5,6,AS,X,15.4,11.0,13.4,21,308
FORD,DT,6.2,8,AS,X,20.1,14.4,17.5,16,402
FORD,DT,3.7,6,A,X,14.0,10.3,12.3,23,283
FORD,DT,3.7,6,A,E,18.8,13.7,16.5,17,264
FORD,DT,3.7,6,AS,X,14.0,10.3,12.3,23,283
